make_model,body_type,price,vat,km,previous_owners,next_inspection,inspection_new,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,cylinders,drive_chain,fuel,emission_class,comfort_convenience,entertainment_media,extras,safety_security,gears,displacement_cc,age_years,first_registered_month,hp_kw,condition,warranty_months,upholstery_type,upholstery_color,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km
Audi A3,Sedans,18999,,38500.0,1,,,Grey,,5,5,Manual,4,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat ventilation,Split rear seats,Start-stop system","Bluetooth,CD player,Digital radio,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Touch screen,Voice Control","ABS,Adaptive headlights,Alarm system,Central door lock,Central door lock with remote control,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Emergency brake assistant,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control,Traffic sign recognition,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Black,1335.0,4.0,4.7,3.6,107.0
Audi A3,Sedans,19334,VAT deductible,13856.0,1,2020-05,,Silver,metallic,4,5,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Cab or rented Car,Catalytic Converter","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Emergency brake assistant,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,999.0,2,5.0,85.0,Used,,Cloth,Black,,4.5,5.5,3.9,104.0
Audi A3,Sedans,19310,VAT deductible,1.0,,,,,,4,,Manual,3,front,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Power windows","Bluetooth,Hands-free equipment,Radio",,"ABS,Central door lock,Electronic stability control,Immobilizer,Isofix,Power steering,Side airbag,Xenon headlights",6,999.0,,,85.0,New,,,,1275.0,5.1,6.0,4.6,117.0
Audi A3,Sedans,19300,,12154.0,,,,Grey,metallic,4,5,Manual,4,,Diesel,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Multi-function steering wheel,Power windows","On-board computer,Radio","Alloy wheels,Sport suspension","ABS,Driver-side airbag,Electronic stability control,Passenger-side airbag,Power steering,Xenon headlights",6,1598.0,1,7.0,85.0,Used,24,,,1815.0,4.0,4.3,3.5,107.0
Audi A3,Station wagon,19290,VAT deductible,27985.0,1,,,Grey,metallic,5,5,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,MP3,On-board computer,Radio,Sound system,USB",,"ABS,Adaptive Cruise Control,Central door lock,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Traffic sign recognition,Xenon headlights",6,999.0,2,4.0,85.0,Used,24,Cloth,Black,1180.0,4.8,5.8,4.2,110.0
Audi A3,Sedans,19290,VAT deductible,31400.0,,,,Silver,,5,5,Manual,,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,On-board computer,Radio,USB","Alloy wheels,Voice Control","ABS,Adaptive Cruise Control,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Traction control,Xenon headlights",,999.0,2,6.0,85.0,Used,,Cloth,Grey,,,,,
Audi A3,Station wagon,19290,VAT deductible,28168.0,1,,,White,metallic,5,5,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,MP3,On-board computer,Radio,Sound system,USB",,"ABS,Adaptive Cruise Control,Central door lock,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Traffic sign recognition,Xenon headlights",6,999.0,2,6.0,85.0,Used,24,Cloth,Black,1180.0,4.8,5.8,4.2,110.0
Audi A3,Station wagon,19290,VAT deductible,27985.0,1,,,Grey,metallic,5,5,Manual,3,,Benzine,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Seat heating","Bluetooth,CD player,MP3,On-board computer,Radio,Sound system,USB",,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Traction control,Xenon headlights",6,999.0,2,4.0,85.0,Used,24,,,1180.0,4.8,,4.2,110.0
Audi A3,Station wagon,19290,VAT deductible,28168.0,1,,,White,metallic,5,5,Manual,3,,Benzine,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Seat heating","Bluetooth,CD player,MP3,On-board computer,Radio,Sound system,USB",,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Traction control,Xenon headlights",6,999.0,2,6.0,85.0,Used,24,,,1180.0,4.8,,4.2,110.0
Audi A3,Sedans,19250,,41200.0,,,,,,5,5,Manual,4,,Diesel,,"Air conditioning,Navigation system,Power windows,Rain sensor,Start-stop system,Tinted windows","Bluetooth,Radio",,"ABS,Alarm system,Driver-side airbag,Electronic stability control,Passenger-side airbag,Xenon headlights",6,1598.0,2,6.0,85.0,Used,24,,,1875.0,,,,
Audi A3,Sedans,19200,VAT deductible,13300.0,,,,Grey,metallic,3,5,Manual,,front,Diesel,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Park Distance Control,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Power steering,Side airbag,Traction control",6,1598.0,2,5.0,85.0,Used,12,,,,4.0,4.5,3.7,
Audi A3,Station wagon,19199,Price negotiable,8501.0,2,2020-11,,Brown,metallic,5,5,Manual,3,,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Roof rack,Trailer hitch,Voice Control","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",6,999.0,2,11.0,85.0,Used,,,,1255.0,4.7,5.7,4.1,107.0
Audi A3,Sedans,19290,VAT deductible,93615.0,1,2021-06,Yes,Blue,metallic,5,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Auxiliary heating,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Panorama roof,Park Distance Control,Parking assist system camera,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Roof rack,Sport seats,Sport suspension,Trailer hitch,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,1968.0,2,4.0,110.0,Used,,Cloth,Black,1380.0,4.2,5.0,3.7,108.0
Audi A3,Station wagon,19200,VAT deductible,23190.0,2,2020-03,,Silver,metallic,5,5,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather seats,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Catalytic Converter,Roof rack,Trailer hitch,Voice Control,Winter tyres","ABS,Adaptive headlights,Alarm system,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control",6,999.0,2,3.0,85.0,Used,,Part leather,Black,1255.0,4.7,5.7,4.1,107.0
Audi A3,Sedans,19250,VAT deductible,37422.0,1,,Yes,Black,metallic,5,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Catalytic Converter,Roof rack","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,1598.0,2,8.0,85.0,Used,12,Part leather,Black,1335.0,4.2,4.7,3.9,109.0
Audi A3,Sedans,19199,Price negotiable,26000.0,2,2020-02,,Grey,metallic,4,5,Manual,3,,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Digital radio,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Catalytic Converter,Sport seats,Sport suspension,Voice Control,Winter tyres","ABS,Central door lock with remote control,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,999.0,2,2.0,85.0,Used,,,,1260.0,4.6,5.7,4.0,106.0
Audi A3,Sedans,18900,VAT deductible,40900.0,1,2020-07,,White,metallic,5,5,Manual,,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,MP3,On-board computer,Radio,Sound system,USB","Sport package,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Xenon headlights",6,1598.0,2,7.0,85.0,Used,,Cloth,Black,1335.0,4.2,4.7,3.9,109.0
Audi A3,Sedans,18900,,36348.0,,,,Black,,3,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Fog lights,Power steering,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Grey,,4.0,4.0,3.0,107.0
Audi A3,Sedans,18900,,36348.0,,,,Black,,3,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Fog lights,Power steering,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Grey,,4.0,4.0,3.0,107.0
Audi A3,Sedans,18900,,36348.0,,,,Black,,3,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Fog lights,Power steering,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Grey,,4.0,4.0,3.0,107.0
Audi A3,Sedans,18900,,36348.0,,,,Black,,3,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Fog lights,Power steering,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Grey,,4.0,4.0,3.0,107.0
Audi A3,Sedans,18900,,36348.0,,,,Black,,3,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Fog lights,Power steering,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Grey,,4.0,4.0,3.0,107.0
Audi A3,Sedans,18900,,36348.0,,,,Black,,3,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Fog lights,Power steering,Xenon headlights",6,1598.0,2,3.0,81.0,Used,12,Cloth,Grey,,4.0,4.0,3.0,107.0
Audi A3,Sedans,18900,VAT deductible,29955.0,1,,,Black,,5,5,Manual,,front,Diesel,Euro 6,"Air conditioning,Armrest,Cruise control,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio","Alloy wheels,Voice Control","ABS,Central door lock,Driver-side airbag,Electronic stability control,Emergency brake assistant,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",6,1598.0,2,3.0,81.0,Used,36,Cloth,,1820.0,3.8,4.3,3.5,99.0
Audi A3,Other,18900,VAT deductible,24764.0,2,,,Grey,metallic,2,5,Manual,,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport seats,Sport suspension","ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Headlights,Passenger-side airbag,Power steering,Side airbag",6,1395.0,2,2.0,110.0,Used,,Cloth,Black,,5.0,6.1,4.4,115.0
Audi A3,Compact,18900,Price negotiable,32654.0,2,,,Silver,metallic,3,5,Manual,4,front,Diesel,,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Keyless central door lock,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system self-steering,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor","Bluetooth,CD player,Digital radio,On-board computer,Radio","Alloy wheels,Shift paddles","ABS,Adaptive headlights,Central door lock,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Power steering,Side airbag,Traction control",5,1598.0,2,1.0,81.0,Used,,Cloth,Black,,4.0,4.7,3.6,
Audi A3,Sedans,18900,VAT deductible,67000.0,1,,,Black,metallic,4,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Electric tailgate,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,Sound system","Alloy wheels,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,1598.0,2,1.0,81.0,Used,,,,1340.0,4.1,4.8,3.7,109.0
Audi A3,Sedans,18900,VAT deductible,31085.0,1,2020-12,,Black,metallic,4,5,Manual,,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Emergency brake assistant,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1598.0,2,12.0,85.0,Used,,,,,4.1,4.6,3.7,107.0
Audi A3,Sedans,18900,,30000.0,2,,,Black,uni/basic,4,,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Roof rack,Sport seats,Sport suspension,Trailer hitch","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",6,999.0,2,4.0,85.0,Used,,Cloth,Black,,4.7,5.7,4.1,107.0
Audi A3,Sedans,18900,VAT deductible,35500.0,1,2020-06,,White,metallic,4,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport package,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system",6,1598.0,2,6.0,85.0,Used,,Cloth,Black,,4.2,4.7,3.9,109.0
Audi A3,Sedans,18900,,25400.0,1,,,Silver,metallic,5,5,Manual,3,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrically heated windshield,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB",Alloy wheels,"ABS,Adaptive Cruise Control,Alarm system,Central door lock with remote control,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,999.0,2,8.0,85.0,Used,12,Cloth,Grey,1255.0,4.5,5.5,3.9,104.0
Audi A3,Sedans,18899,,12000.0,1,,,White,,5,5,Manual,4,,Benzine,Euro 6,"Air conditioning,Power windows,Split rear seats","Bluetooth,Radio",Alloy wheels,"ABS,Alarm system,Central door lock,Driver-side airbag,Power steering,Side airbag,Traction control",6,1395.0,2,4.0,110.0,Used,,,,1305.0,4.7,5.8,4.1,109.0
Audi A3,Sedans,18980,VAT deductible,39400.0,1,,Yes,White,metallic,4,5,Manual,,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Auxiliary heating,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1598.0,2,3.0,81.0,Used,,Cloth,Black,,4.2,4.9,3.8,109.0
Audi A3,Sedans,18980,VAT deductible,36677.0,1,,Yes,Black,metallic,5,5,Manual,,front,Benzine,Euro 6,"Air conditioning,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",6,999.0,2,4.0,85.0,Used,,,Black,,4.5,5.5,3.9,104.0
Audi A3,Sedans,18980,VAT deductible,23968.0,1,,,Black,metallic,5,5,Manual,4,,Diesel,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Park Distance Control,Parking assist system self-steering,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","Bluetooth,CD player,Digital radio,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Catalytic Converter,Sport package,Sport seats","ABS,Adaptive headlights,Alarm system,Central door lock,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Xenon headlights",6,1598.0,2,11.0,85.0,Used,,Cloth,Black,1335.0,4.0,4.7,3.6,107.0
Audi A3,Station wagon,18980,VAT deductible,26274.0,1,2020-12,,Black,metallic,4,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,1598.0,2,12.0,85.0,Used,,Cloth,Black,,4.1,4.6,3.8,108.0
Audi A3,Sedans,18980,VAT deductible,26397.0,1,2021-03,,Grey,metallic,4,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport package,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,1598.0,1,3.0,85.0,Used,,Cloth,Black,,4.1,4.6,3.7,107.0
Audi A3,Sedans,18980,VAT deductible,54000.0,,2020-01,,Black,metallic,5,5,Manual,,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","CD player,Hands-free equipment,On-board computer",Alloy wheels,"ABS,Central door lock,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",6,1598.0,2,1.0,81.0,Used,,Full leather,,1350.0,4.0,4.7,3.6,105.0
Audi A3,Sedans,18980,VAT deductible,61000.0,,2020-09,,Black,metallic,5,5,Manual,,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","CD player,Hands-free equipment,On-board computer",Alloy wheels,"ABS,Central door lock,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",6,1598.0,2,9.0,85.0,Used,,Cloth,Black,1335.0,4.0,4.5,3.7,106.0
Audi A3,Sedans,18977,VAT deductible,35996.0,1,,Yes,Black,metallic,5,5,Manual,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,Radio,USB",Cab or rented Car,"Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Xenon headlights",6,1598.0,2,2.0,81.0,Used,,Part leather,Black,,4.0,4.7,3.6,107.0
Audi A3,Sedans,18960,VAT deductible,25850.0,2,,Yes,Grey,metallic,5,5,Manual,4,front,Diesel,,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Roof rack","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1598.0,2,1.0,81.0,Used,12,Cloth,Black,,3.8,4.3,3.5,101.0
Audi A3,Sedans,18950,VAT deductible,51893.0,1,2021-06,Yes,Black,,4,5,Manual,,front,Diesel,Euro 6,"Air conditioning,Electrical side mirrors,Electric tailgate,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","Bluetooth,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1598.0,2,4.0,85.0,Used,,Cloth,Black,,4.1,4.6,3.7,109.0
Audi A3,Compact,18950,VAT deductible,50687.0,,,,Black,,5,5,Manual,3,front,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Power windows,Start-stop system","CD player,On-board computer,Radio",Alloy wheels,"ABS,Alarm system,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",6,999.0,2,3.0,85.0,Used,,Cloth,Grey,1155.0,4.5,5.5,3.9,104.0
